Text,Emoji,retweet_count,favorite_count
"Donald Trump's dad lived to be 94, his mom 88. From my observations in my short time in this world, genes are a better predictor of longevity than anything else. Give it up haters.",,0,0
"@USAirForce92 He would do no less for us. But I wish no ill on his family. (Trump, on the other hand, denied health insurance to his his nephew’s sick child. The man is a heartless monster.)
https://t.co/6uV7TY8Y3l",,0,0
@AyannaPressley @Mariska This Still Stands True Even Today. What Frank Serpico Said In His Closing Statement. Same Goes For  Donald J Trump.( Presidential Corruption Cannot Exist unless it is at least Tolerated at Higher Levels in Our Government)  IMPEACH !! https://t.co/VvyHoZn5Ak,,0,0
"@MarshaBlackburn @realDonaldTrump Is donald trump a liar?  Yes
Is donald trump dishonest? Yes
Has donald trump broke the law? Yes",,0,0
"@TheAtlantic @MollyJongFast Which particular cause?  There is like, hundreds of Donald Trump causes?  Its hard to keep track of all the causes...plus can you apply the cause to the carricature?  For instance which of the causes go along with Trump = the antichrist, Hitler, Quasimodo, etc. etc.",,0,0
This is something Donald Trump would say. You've probably abused women. https://t.co/xcGr3YoSbB,,0,0
"@BrentBozell @DavidBrodyCBN It's a game! Let me try!

Donald Trump actually won the popular vote when you factor in the gazillions of illegal votes Hillary got from ... people.  HE. WON. IT. FOR. REALZ.

How did I do?",,0,0
"@EliseStefanik @gtconway3d Lying is not a becoming quality, and neither is playing stupid. Stop embarrassing yourself for Donald Trump. You do realize Trump will not be around much longer, and you’re going to tie your reputation to his name? Not good.",,0,0
"@JoeBiden You fool, President Donald J Trump has opened the doors for many that you (for 40 years) have victimized.
WE THE PEOPLE now see the truth.
Sheep no more.",,0,0
Donald Trump's body count: He's not just a narcissist and a liar. He's a killer https://t.co/IZHFGqIJ0J,,0,0
"Only in the US of A. 
People who got their news from a comedy program like “The Daily Show” — or who had no news source whatsoever — knew more about current events than Fox viewers.
Fox News? More Like Trump’s Impeachment Shield - The New York Times https://t.co/UjFxZjal8f https://t.co/BIJoA7UYZ9",,0,0
Donald Trump reacts to people who produce FACTs that show him in a bad light is to act and speak like an 8-year old boy who is a bully and not too smart.,,0,0
"BTW - I hired Donald Trump to fire people like Yovanovitch.

Also, Epstein didn't kill himself either...

RT https://t.co/PM1N5hhPjc",,0,0
@antoniiogarza21 Are you secretly Donald trump?! 😳🤡,😳🤡,0,0
"@NonWhiteHat @Popehat @madgiraffewife Filing this under WTAF also:

https://t.co/7MlTt2JFsy",,0,0
"@AdamFellagain @realDonaldTrump @nytimes Only when it suits him.
Now I'll say #NYT is #FakeNews if they help #DonaldTrumpJr's book in any way!
Just kidding, just kidding! 
I'll let the people like the students in California who booed him off the stage (love it) make the point. 
https://t.co/OuoEwSZZVl",,0,0
"😺✏ — Donald Trump
Abo Trieka https://t.co/0aFiBqpnzq",😺,0,0
"It is not that Betsy Du Vos aggressively cherishes his own chew toy, it's that Donald Trump stupidly abuses fruitflies during Tuesdays.",,0,0
"@thatkevwest @CIAspygirl I doubt that very much. He most likely would have deposited the check into his bank account.
https://t.co/m1pBmXMyiy",,0,0
Donald Trump Announces Revolutionary Healthcare Transparency Rules https://t.co/4epPyMJvb9,,0,0
President Donald Trump spent more than two hours at Walter Reed National Medical Center on Saturday for what the White House said were medical tests as part of his annual physical. https://t.co/Etq8LI9618,,0,0
"@POTUS  Kevin McCallister asks future President, Donald Trump directions to the lobby at the beautiful Plaza Hotel in Home Alone 2 Lost in New York https://t.co/6lF8gWFDCX",,0,0
"Donald Trump having emergency physical at #WalterReed Hospital. However, doctors are unsure whether it's even possible to remove Lindsey Graham's head from Donald Trump's ass.",,1,6
"@oliverdarcy Why would anyone tweet that they had hired Donald Trump to fire people like Yovanovitch? I mean sure we did, and people like Comey, and that bitch Yates.",,0,0
@zero_nullnumber @Blue_Turbulence DONALD TRUMP WILL SAVE US FROM THE TERRORIST THAT'LL DESTROY CHRISTMAS,,0,1
"@LindseyGrahamSC What if @BarackObama had asked a foreign leader to investigate the investments and dealings of Donald Junior and Ivanka Trump, would that have been an impeacheable offense? This is what your willing to sacrifice for Donald Freaking Trump! Put our laws and country over Trump!",,0,0
@tribe_zero @PoliticalKathy What does the fact that I retweeted a guy who sat down and spoke with Donald Trump Jr. have to do with anything? You're telling me God doesn't like me retweeting that? lol. Listen I'm just saying what the Bible says but the Bible also tells me not to cast pearls before swine.,,0,0
Two nasty vile men who perpetuated a shameful hoax on the people of the United States and laughed all the way to the bank as they did it.  It was meant to fool us and once uncovered to dispirit and discourage us. And it would have worked had it not been for Donald J. Trump. https://t.co/QI1wOd8nV5,,2,2
"*SALE* 
Donald Trump Nutrition Facts T Shirt
BUY HERE👉https://t.co/mNI6nBL0rt
#ImpeachTrump
#ImpeachTrumpNow 
#ImpeachTheMFTraitorNow 
#ImpeachTrump https://t.co/aKv46uWZ99",👉,0,0
Donald Trump has been nominated for a Nobel Peace Prize by House Republicans https://t.co/gSsV2SziwH,,0,0
KNUS radio host Craig Silverman fired midshow for criticizing Trump https://t.co/1SENWzbSts via @denverpost,,0,0
Wooooow  https://t.co/B2cCznQcWB,,0,0
What Happens to DACA Holders If the Supreme Court Allows Trump to End the Program?: The U.S. Supreme Court is considering whether President Donald Trump can go forward with his plans to end the Deferred… https://t.co/kh23mAilZS #25thAmendmentNow #ImpeachTrump #TheResistance https://t.co/vuG1CCmLiB,,1,0
"@luismen1991 ""Tonight, we renew our resolve that America will never be a socialist country,""

-Donald J Trump
February 5, 2019",,0,0
#FreeSpeech @710KNUS means only pro-Trump speech! Conservative host fired midshow for criticizing Trump! KNUS == #NorthKoreaRadio https://t.co/XmytaMfpaK,,0,0
@cj_beckerman @rocki_ @CoyWire @TrueFactsStated I's Donald Trump tall? Ive never thought about his height!,,0,0
"Why am I surprised. I guess the people who told Donald Trump about this was right all along. When I was in Hawaii, I was told by man’s locals that anybody could buy a fake Birth Certificate there because they liked Hawaii. https://t.co/3qMJcEFZxN",,0,0
"@Catsinaboxnot @briantylercohen @realDonaldTrump Dec. 2017 👇
https://t.co/E5lGDTJAGP",👇,0,0
"UPDATED: Conservative radio station KNUS pulls plug on host Craig Silverman midshow after Trump criticism, @sam_tabachnik reports https://t.co/YZ6WQno41x",,6,0
"Donald Trump was anointed by the God of Jacob not elected bcos, 24hours to d announcement of the 2019 election, the god of men had 99% of MSM publish ""Madam president"". Americans shud look at their economy and know that God never break his promise neither does he judge as men do.",,0,0
"@FrankWrathe @alleysnell @BreitbartNews Funny how you think minorities. What about the dumb white wealthy kinds that can't pass but their parents can make the right ""donation"" which is the only way they get in. But go through life dumb as a box of rocks = Donald Trump, Don, Jr., Jared Kushner.",,0,0
@matbo2 I agree.... nothing is wrong with Donald Trump punk ass.,,1,1
EDITOR’S NOTE: It’s pronounced “kaynus” https://t.co/0d6JUqcuZU,,0,0
#TheFeralLeft #Fascist #Liberal #Nazis @TwitterSupport @Twitter @jack reportedly cracks down on users tweeting 'I hired Donald Trump to fire people like Yovanovitch' https://t.co/KH9dEoYdlm #FoxNews,,0,0
"@realDonaldTrump @nytimes @DonaldJTrumpJr ...You've the chutzpah to accuse Hunter Biden profited from his father former VP @JoeBiden? Now NYT not ""fake news, failing newspaper"" anymore, right criminal thug Trump? Despicable Jr. traveling with his lover to promote his book on TAX PAYERS EXPENSES. https://t.co/tCtk1sQlrZ",,0,0
(CNN) — „A fateful convergence of events Friday reflected a culture of corruption and intimidation endemic to the circle of a President who vowed to drain the swamp but instead became its incarnation.“ https://t.co/Jjud4UzJaV,,0,1
"@realDonaldTrump @EddieRispone All southern racists will get $1,000 from Donald Trump if they vote holding a Home Depot tiki torch on their way to burn a Jesus cross.                #VDARE #KAG2020 #Bribery #Racism #GOP #ProudBoys #WhiteHouse #KKK #NRA #AssaultWeapons #MAGA #Rednecks #Cowboys #NASCAR #RedState https://t.co/eif5PFswk9",,0,0
"TONIGHT AT 6: President Donald Trump restored the rank of an officer and pardoned two others, one of which is from Kiowa County. Find out the latest information on that, tonight at 6 p.m. https://t.co/OvNJ3P3CkL",,0,0
@SRuhle Donald Trump's lunch.,,0,0
"I Hired Donald Trump to Fire People Like Yovanovitch""",,0,0
Hey check this out https://t.co/wgDJpDOOsQ,,0,0
@brithume @AndrewCMcCarthy People elected Donald Trump bcos they are sick of Washington institutions like swampess Yovanovitch.,,0,0
"@realDonaldTrump I, hereby accuse President Donald Trump of Bribery, tax fraud, obstruction of justice, and treason.",,0,0
"@Randomdeadhead @Chas32119696 @Qanon76 @launa_usa If I understand correctly Donald Trump collects no money for his salary, instead, he donates it all. Obama and Biden are nothing like President Donald Trump. Trump actually cares about the country. They did and do not. Bring on 2020, we will speak again, only LOUDER this time.",,0,0
"This Choir is loving. This Choir is angelic. This Choir will one day in the celestial kingdom serenade God, the Son, and the Holy Spirit. This Choir selected Donald J. Trump over their own @LDSchurch native son, Mitt Romney. Based on my faith in this Angelic Choir, I pledge my",,0,0
https://t.co/2onGUuLNrK,,0,0
"@Bri_Ovo_Xoxo She put a video of Donald Trump in my inbox chile. She has to go, expeditiously",,0,0
Here we have a person who heard Donald Trump brag about grabbing females by the pussy! We need to support him and have him get on the news to tell his story! #potus #maga #trump #donaldtrump #FakeNews https://t.co/aLcIosdjM1,,0,0
Why are AG  Barr &amp; Sec. State Pompeo so willing to prostitute themselves for Donald J. Trump? They had the respect of their peers &amp; general respect of citizens. Why you 2 dudes want to get all dirty for the trump dump pile waste of human protoplasm https://t.co/JXYVRDwSNT,,0,0
@realDonaldTrump https://t.co/b0SYj5boAZ,,0,0
I love how there are so many easter eggs in #DeathStranding taking shots at Donald Trump like this one. #PS4share https://t.co/ZaLelaZK33,,0,1
@IcallBSonU2 I Hired Donald Trump to Fire People Like Yovanovitch,,0,0
KNUS radio host Craig Silverman fired midshow for criticizing Trump https://t.co/Ajp2TbaMGF,,0,0
"trump is meeting with doctors for a physical exam that the White House says is an early part of his annual checkup.  The 73 year old arrived at Walter Reed National Military Medical Center in Bethesda, Maryland this afternoon for the physical exam,... https://t.co/5cU6Zqjdfg",,0,0
"Donald Trump spoke to Ukraine’s president twice.

The first time he mentioned his Miss Universe pageant. 

The second time he mentioned his potential opponent Joe Biden. 

Neither time did he mention the word “corruption.” https://t.co/UWEbvHzHxq",,23,73
Donald Trump throw another one of his own loyalists in the garbage https://t.co/2Pe1kVfEa0 via @YouTube,,0,0
Donald Trump Announces Revolutionary Healthcare Transparency Rules https://t.co/WUJd5s9GkS,,0,1
I flicked David Cameron because it rigged Donald Trump.,,0,0
"The doctor pronounced that #DonaldTrump was ""fat and stupid,"" so same as before.
https://t.co/AAPsEr870d via @CBSPolitics",,0,0
"Senior Trump official embellished résumé, had face on fake Time cover
 https://t.co/WRQHuOeLpQ",,0,0
@loves_nra @Toni_Malin America wasn't built to be a socialist bureaucracy operated by an elite political class that ignores the will of Middle Americans. Trump saw no one capable to do what had to be done.  He laid aside his successful life and stepped up. Who else could do that besides Donald Trump?,,0,0
The murderous intent behind Donald Trump’s latest Twitter rant https://t.co/AzCJ6lRwIJ via @PalmerReport,,0,0
I did not hire Donald trump to fire Yovanovich....bit I’m certainly glad he did.,,0,0
@realDonaldTrump @foxandfriends https://t.co/b0SYj5boAZ,,0,0
"@SteveScalise Shame on you, disgraceful man—who sold your soul to Russia and Donald Trump, knowing you are aiding and abetting his crimes and endorsing lawbreaking in violation of:

1729. PROTECTION OF GOVERNMENT PROCESSES -- TAMPERING WITH VICTIMS, WITNESSES, OR INFORMANTS -- 18 U.S.C. 1512",,0,0
"@darksecretplace How many Dear Leaders can we have at one time?

https://t.co/7MlTt2JFsy",,0,0
"The most compromised and amoral administration in history. He surrounds himself with criminals &amp; digs his own holes. Horrible negotiator, opposite of a unifier.
A day that underscored the corruption swamping the Trump presidency https://t.co/jsZxrVF7Hf",,0,0
"Damn libtard snowflakes can't take a joke hillybilly handfishin' get'er done freedom!!

https://t.co/7VUOaTcfYC",,0,0
@dcexaminer @VP Unusual an inappropriate = POTUS Donald J Trump.  This why he was elected in 2016 and will be again in 2020.  Geez you make that descriptor sound like a negative,,0,0
I never thought it would be possible for Taylor Swift to exhibit and encourage more childish behavior than Donald Trump.,,0,0
@realDonaldTrump https://t.co/b0SYj5boAZ,,0,0
"@e_whittler He goes on a fishing expedition and finds that only Donald is corrupt, so he goes to WH and tells Trump and now Trump is at Walter Reed.",,0,0
Donald J. Trump: Pardon Roger Stone - Sign the Petition! https://t.co/YzKohiujg8 via @Change,,0,0
@gason65 @Brittarms2 @EliseStefanik https://t.co/znVtHyyGCB,,0,0
@TRUMPCAT2020 @SaveUSA1776 America wasn't built to be a socialist bureaucracy operated by an elite political class that ignores the will of Middle Americans. Trump saw no one capable to do what had to be done.  He laid aside his successful life and stepped up. Who else could do that besides Donald Trump?,,1,1
"@AubreyGilleran @theburningdeck @Vermeullarmine I tend to agree with that as far as it goes, but that seems to me to be a relatively narrow point, which when applied here depends a lot on speculation. If Donald Trump asked for the investigation not (only) to target Joe Biden, but (also) to make sure that United States isn't...",,0,0
"""I hired Donald Trump to fire people like Yovanovitch.” Twitter suspending accounts for this. 🤬 I dare you, Twitter.",🤬,0,0
Republicans should be ashamed of their silence on Trump's call for China to go after Biden https://t.co/1CR1GJ7W5j via @usatoday,,0,0
Donald Trump’s body count: He’s not just a narcissist and a liar — he’s a killer - https://t.co/3BBdrBHwin,,0,0
"@realDonaldTrump @EddieRispone Dear Louisiana, 
You cannot believe one word Donald Trump says, except for maybe how many hours are left to vote. 

Please vote for John Bel Edwards.",,0,1
"Radio host Craig Silverman cut off mid-show for criticizing President Trump

Nothing like #censorship in the USA 

#ASadDayForAmerica  https://t.co/Vfx5Zx4AMo",,0,0
@GruenHQ I spent my twitter life analysing advertisement campaigns and I'm fairly certain I have proof that Donald trump used your TV show as a means to control his whistleblowers.,,0,0
#truthtold Donald Trump’s body count: He’s not just a narcissist and a liar — he’s a killer - https://t.co/4DRo4t9CkJ,,0,0
¿EE.UU para Cristo? Donald Trump dice “Yo amo la Biblia y nadie puede vencerla” https://t.co/Mtqlu5QLvn,,0,0
Donald Trump has gone to Walter Reed hospital in the hope of getting another diagnosis for bone spurs as a way of dodging impeachment.,,3,15
"@kylegriffin1 Jan. 5, 2017

WASHINGTON — President-elect Donald J. Trump’s transition staff has issued a blanket edict requiring politically appointed ambassadors to leave their overseas posts by Inauguration Day
https://t.co/ZW7KdlYsEe",,0,0
"""I Hired Donald Trump to Fire People Like Yovanovitch"" https://t.co/D2DEi9L4Jq",,0,0
"Walter Shaub, the former head of the U.S. Office of Government Ethics, bashed people who continue to defend Donald Trump. https://t.co/gQXdEWsw7q via @HuffPostPol",,0,0
Mike Pompeo Took Over a Crumbling State Department. Marie Yovanovitch’s Testimony Shows How He Made It Worse. – Mother Jones https://t.co/qer6KX3EIz,,0,0
Mike Pompeo Took Over a Crumbling State Department. Marie Yovanovitch’s Testimony Shows How He Made It Worse. – Mother Jones https://t.co/26pQP1jZX9,,0,0
"A day that underscored the corruption swamping the Trump presidency
https://t.co/1Mj9gfwETm",,0,0
https://t.co/BBCYL2BRZ6,,0,0
Donald Trump's body count: He's not just a narcissist and a liar. He's a killer https://t.co/MVu1SAmMhr,,0,0
@KarenBassTweets @IlhanMN I Hired Donald Trump To Fire People Like Yovanovitch,,0,1
https://t.co/HtSdeajBFE  TEACHING - DONALD J TRUMP. #god #jesus #gospel #bible #angel #holyspirit #faith #trust #love #gospel #kingdom #peace #father #miracle #faith,,0,0
"@gtconway3d Trump Heart Attack. Rushed to Walter Reed
https://t.co/7Gn0St70Sp",,0,0
"Ack, Donald Trump. #HomeAlone2 https://t.co/6xun0mUHU4",,0,1
"What the doctors at Walter Reed will find after their exam of Donald Trump:

Hillary Clinton
Nancy Pelosi
Elizabeth Warren

All living rent free in his brain.
And refusing to leave.",,0,2
Donald Trump arrives at Walter Reed for unannounced physical exam #SmartNews  https://t.co/q9PRgP73Ie,,0,0
Yuck  Donald Trump cameo in Home Alone,,0,0
Donald Trump is at Walter Reed because the 12 diet cokes a day and McDonalds is finally starting to tear his body apart. https://t.co/LK3MkWbZXR,,0,1
Today I learned that impeachment was added to the US Constitution SPECIFICALLY to remove Donald Trump from office: https://t.co/EpnBqGh9tc,,0,0
Just saw Donald Trump on home alone.  His voice sounded like a teenager lol,,0,2
"@GeorgeTakei This really happened. WTF

https://t.co/7MlTt31gR8",,0,0
"@JuliaDavisNews What the Russians hope will manifest underlies why we must defeat Trump or IMPEACH him. Either way, we must not endure another four years of Donald Trump. As Joe Biden warns, 8 years of Trump will destroy our democracy. I believe this to be true. Defeat Trump 2020 or IMPEACH.🇺🇸⚖️",🇺🇸,0,0
@SchmittNYC Donald Trump steals a lot of money from his charities and you still let him get away with rape.,,0,0
Radio host Craig Silverman cut off mid-show for criticizing President Trump: https://t.co/qbL6q1T6NB,,0,0
"James Rickards: ""Donald Trump is a Genius"" https://t.co/aXy6uHk8m0 via @YouTube",,0,0
"@DanielLarison It cannot be genocide until the politics are convenient.  One hundred years are not enough. But, hey, thank God that Donald Trump has made America great by eliminating “political correctness” (and speak up for persecuted Christians).",,0,0
@ChrisCuomo Donald Trump,,0,0
KNUS radio host Craig Silverman fired midshow for criticizing Trump #FreedomOfSpeech tho... https://t.co/aHxshjQ6I4,,0,0
@atrupar I agree completely.  There has never been a disgrace like donald trump before.,,0,0
@jaketapper Welcome to 1984 starring Donald Trump as the dictator.,,0,0
"And Donald Trump told SCOTUS a few weeks ago that this kind of thing is perfectly fine.

Gay man's pay slashed so he'd be on par with 'the other females in the office,' lawsuit claims https://t.co/0g1tzqigvt",,9,20
"DISHONEST DONALD #TRUMP
The Devastating Day Trump's Presidency Came Into Sharp #Focus — In #Congress, The #WhiteHouse &amp; In #Court
Analysis: #Yovanovitch #Testified, Roger #Stone Was #Convicted, #Trump #Tweeted. It's ALL Right There!
https://t.co/AQqOUCsmKo",,0,0
@KimStrassel Excuse me?  The day-to-day partisan warfare started in June of 2015 when Donald Trump made his “grand” escalator entrance! And it has gotten worse every day since from his obnoxious tweets! https://t.co/tnrDEKgshD,,0,0
"After White House Meeting Lev Parnas Brags of Trump 'Secret Mission': Among the many guests who had their pictures taken with President Donald Trump at the White House's annual Hanukkah party last year were two Soviet-born businessmen from Florida, Lev… https://t.co/P3kvAvUnbh",,0,0
Labour will exclude the NHS and medicines from trade deals with the US https://t.co/W9ypfDQuhv,,0,0
@Debbie227 @PostSports So are you the Donald Trump of dummies?!? #StillWithKap,,0,0
Does anyone think the woman in the #Unstoppable Commercial looks like an odd feminization of Donald Trump?,,0,0
"The impeachment of Donald Trump, explained   https://t.co/g5heZbAEWg #ExtortionistTrump  #trump #ExtortionistTrump  #trump #LockHimUp #ImpeachmentHearings #ImpeachmentDay #ImpeachmentInquiry #rogerstone #rogerstone https://t.co/JmJVZdv2CX",,0,0
"DISHONEST DONALD #TRUMP
The Devastating Day Trump's Presidency Came Into Sharp #Focus — In #Congress, The #WhiteHouse &amp; In #Court
Analysis: #Yovanovitch #Testified, Roger #Stone Was #Convicted, #Trump #Tweeted. It's ALL Right There!
https://t.co/Ry2c6jcIbQ",,1,1
"@GOPLeader @GOP @SenateDems @HouseDemocrats @SpeakerPelosi

Is this a fair Judge to have over an inquiry ? 

https://t.co/x02ZOlbtJ5",,0,0
"DISHONEST DONALD #TRUMP
The Devastating Day Trump's Presidency Came Into Sharp #Focus — In #Congress, The #WhiteHouse &amp; In #Court
Analysis: #Yovanovitch #Testified, Roger #Stone Was #Convicted, #Trump #Tweeted. It's ALL Right There!
https://t.co/zrTHOIwUkq",,1,1
@JodyBelcher7 @LibbyCMason America wasn't built to be a socialist bureaucracy operated by an elite political class that ignores the will of Middle Americans. Trump saw no one capable to do what had to be done.  He laid aside his successful life and stepped up. Who else could do that besides Donald Trump?,,0,0
"The most I've heard about Kirstie Alley recently wasn't about her TV Land sitcom, (for which she pulled out every tool in her belt to make work) but her endorsement for Donald Trump (which she later pulled.)",,0,0
@JanetMafGalea @withloveelizab2 @gtconway3d https://t.co/Olp3DdKl6f,,0,0
"DISHONEST DONALD #TRUMP
The Devastating Day Trump's Presidency Came Into Sharp #Focus — In #Congress, The #WhiteHouse &amp; In #Court
Analysis: #Yovanovitch #Testified, Roger #Stone Was #Convicted, #Trump #Tweeted. It's ALL Right There!
https://t.co/GjTz1EoTNc",,1,2
"@ChuckRossDC Hmmmm...somebody could have told 63,000,000 voters that...maybe they wouldn’t have elected Donald J. Trump...MAGA!",,0,0
"I know I'm repeating myself but look at Donald Trump' s Twitter account and Barack Obama's. Obama follows over 600,000. Donald Trump follows 47. Which one do you think doesn't give a damn what anyone else thinks? Yep, #DirtyDonaldTrump",,6,16
"@EliseStefanik @realDonaldTrump If Donald Trump is so big on a strong military, why is he siphoning off military funds to pay for his vanity project of a wall?",,0,0
"@realDonaldTrump Trump, 73, arrived at Walter Reed National Military Medical Center on Saturday afternoon for the physical exam, which had not been previously announced.
https://t.co/7Gn0SsPptP",,0,0
Ivanka Trump mortified: Barron Trump ‘old enough to know better’ in cringe-worthy clip https://t.co/9wiOMAkDXd https://t.co/2FZ2wfbFhC,,1,3
KNUS radio host Craig Silverman fired midshow for criticizing Trump https://t.co/p74EgCtBtr via @denverpost,,0,0
https://t.co/uJJY1qRAj9,,0,0
"@realDonaldTrump and censorship at its best. Here lies the deep state as #derangeddonald and his puppets like @RyanAFournier try to control honest expressions 

KNUS radio host Craig Silverman fired midshow for criticizing Trump https://t.co/xsYuOIQ3Ew via @denverpost",,0,0
"@SteveScalise how's this tweet aging Steve-O?
Tell dear leader to let the other first-hand witnesses testify, stop obstructing justice. 
 https://t.co/dUIMeFi0l4",,0,0
@FaceTheNation @Jim_Jordan Thank your Lord JESUS CHRIST  for working good in America and in the life of president  Donald Trump   life..,,0,0
@MonerosMex Like it! We would like to invite you to visit our caricatures. https://t.co/9D4djZqK8l,,0,0
Donald J. Trump: Pardon Roger Stone - Sign the Petition! https://t.co/3rX9et9hES via @Change,,0,0
Donald Trump Announces Revolutionary Healthcare Transparency Rules https://t.co/yipaXkTAmp,,0,0
"@BluewaveA @realDonaldTrump @foxandfriends I agree wholeheartedly.

I am very interested to see people punished and reprimanded for the violation of 4th many citizens Fourth amendment rights, including Donald Trump.

I'm pretty sure that's what Bill Barr has been flying over the world for. 👍",👍,0,0
#TriggeredDemocrats : How the Left Thrives on Hate and Wants to Silence Us: Donald Trump Jr.: 9781546086031: https://t.co/92e7eTrMus: Books https://t.co/w1P1V8vL5C,,0,0
"again, not someone i'm a big fan of, but her target, the white piece of shit formed from a mixture of donald trump sr.'s feces &amp; cum , donald trump jr, is a human latrine. https://t.co/zDVcqLf4Zx",,0,0
"“I see corruption and blatant dishonesty by Trump &amp; his cronies. I also see bullying/smearing of American heroes w/courage to take oath and tell truth. Their bravery inspires me
Radio host Craig Silverman cut off mid-show for criticizing President Trump https://t.co/4fXy1wUkDv",,0,2
"Donald Trump's very historic and very bad week
https://t.co/WSXo4F8ONP",,0,0
@sof25_Bts Like it! We would like to invite you to visit our caricatures. https://t.co/9D4djZqK8l,,0,0
@AntsCjohnson Donald Trump will destroy the world,,0,0
"@IlhanMN ""Donald Trump has gotten away with every single one of his corrupt deeds so far.""

Name one. https://t.co/9Em0lCSBgY",,0,0
"Limbaugh: ""My Support For Donald Trump Has Never Been Greater Than It Is Right Now""

https://t.co/kC826tkKRj",,0,1
"@obscuricom @Chronotope The originators of ""both sides are equally bad"" just can't think of anything funny to say about Donald Trump.",,0,1
"With Donald Trump in the White House, Republicans have now lost nine legislative chambers nationwide https://t.co/SNNvMi1WUS",,3,2
@gtconway3d If you weren't #Trash you would have understood your performance yesterday was trash. It has catapulted your rival from little known 5000 twitter followers to 190K and fundraise $400K+. All thanks to your performance against a patriot and for Donald Trump,,0,0
Over @CNN @jaketapper seem confused by the Mountisn of Proof against Donald Trump Anyone Else? @ChrisCuomo @donlemon @AC360 @NewDay confused since Chris moved to Solo! https://t.co/71KVoCVaWz,,0,1
@rdrhwke @LibbyCMason America wasn't built to be a socialist bureaucracy operated by an elite political class that ignores the will of Middle Americans. Trump saw no one capable to do what had to be done.  He laid aside his successful life and stepped up. Who else could do that besides Donald Trump?,,0,1
"@EliseStefanik @DonaldJTrumpJr @realDonaldTrump Then you mean you’re fighting AGAINST Donald Trump for freedom, a strong military without him taking funding from it to build his wall in lol...Colorado..and protecting our constitution from his unlawful shredding of it. Now u have balls because U defended a criminals ‘honor?’",,1,0
